,Steady State,Dominator
0,False,Predator
1,False,Prey
2,False,Predator
3,False,Predator
4,False,Predator
5,False,Prey
6,False,Predator
7,False,Predator
8,False,Predator
9,False,Prey
10,False,Predator
11,False,Predator
12,False,Predator
13,False,Prey
14,False,Predator
15,False,Predator
16,False,Predator
17,False,Predator
18,False,Predator
19,False,Predator
20,False,Predator
21,False,Predator
22,False,Predator
23,False,Predator
24,False,Predator
25,False,Predator
26,False,Predator
27,False,Predator
28,False,Predator
29,False,Predator
