,Steady State,Prey Percentage,Predator Percentage
0,FALSE,0,1
1,TRUE,0.3,0.7
2,TRUE,0.19,0.81
3,TRUE,0.16,0.84
4,FALSE,0,1
5,FALSE,0,1
6,FALSE,0,1
7,FALSE,0,1
8,FALSE,0,1
9,TRUE,0.23,0.77
10,FALSE,0,1
11,FALSE,0,1
12,TRUE,0.12,0.88
13,FALSE,0,1
14,FALSE,0,1
15,TRUE,0.16,0.84
16,FALSE,0,1
17,FALSE,0,1
18,FALSE,0,1
19,FALSE,0,1
20,FALSE,0,1
21,FALSE,0,1
22,FALSE,0,1
23,FALSE,0,1
24,TRUE,0.13,0.87
25,FALSE,0,1
26,FALSE,0,1
27,FALSE,0,1
28,FALSE,0,1
29,FALSE,0,1
30,TRUE,0.03,0.97
31,FALSE,0,1
32,FALSE,0,1
33,FALSE,0,1
34,FALSE,0,1
35,FALSE,0,1
36,FALSE,0,1
37,FALSE,0,1
38,FALSE,0,1
39,TRUE,0.27,0.73
40,TRUE,0.26,0.74
41,FALSE,0,1
42,TRUE,0.26,0.74
43,FALSE,0,1
44,FALSE,0,1
45,FALSE,0,1
46,FALSE,0,1
47,FALSE,0,1
48,FALSE,0,1
49,FALSE,0,1
50,FALSE,0,1
51,FALSE,0,1
52,FALSE,0,1
53,FALSE,0,1
54,FALSE,0,1
55,FALSE,0,1
56,TRUE,0.02,0.98
57,FALSE,0,1
58,FALSE,0,1
59,FALSE,0,1
60,FALSE,0,1
61,FALSE,0,1
62,TRUE,0.06,0.94
63,FALSE,0,1
64,FALSE,0,1
65,FALSE,0,1
66,FALSE,0,1
67,FALSE,0,1
68,FALSE,0,1
69,FALSE,0,1
70,FALSE,0,1
71,TRUE,0.07,0.93
72,FALSE,0,1
73,FALSE,0,1
74,FALSE,0,1
75,FALSE,0,1
76,FALSE,0,1
77,FALSE,0,1
78,FALSE,0,1
79,FALSE,0,1
80,FALSE,0,1
81,FALSE,0,1
82,FALSE,0,1
83,FALSE,0,1
84,TRUE,0.03,0.97
85,FALSE,0,1
86,FALSE,0,1
87,FALSE,0,1
88,FALSE,0,1
89,FALSE,0,1
90,TRUE,0.02,0.98
91,FALSE,0,1
92,FALSE,0,1
93,FALSE,0,1
94,TRUE,0.23,0.77
95,FALSE,0,1
96,FALSE,0,1
97,FALSE,0,1
98,FALSE,0,1
99,FALSE,0,1
Rap up:,17,,
