,Steady State,Dominator
0,TRUE,None
1,TRUE,None
2,TRUE,None
3,TRUE,None
4,TRUE,None
5,TRUE,None
6,TRUE,None
7,TRUE,None
8,TRUE,None
9,TRUE,None
10,TRUE,None
11,TRUE,None
12,TRUE,None
13,TRUE,None
14,TRUE,None
15,TRUE,None
16,TRUE,None
17,TRUE,None
18,TRUE,None
19,TRUE,None
20,TRUE,None
21,TRUE,None
22,TRUE,None
23,TRUE,None
24,TRUE,None
25,TRUE,None
26,TRUE,None
27,TRUE,None
28,TRUE,None
29,TRUE,None
30,TRUE,None
31,TRUE,None
32,TRUE,None
33,TRUE,None
34,TRUE,None
35,TRUE,None
36,TRUE,None
37,TRUE,None
38,TRUE,None
39,TRUE,None
40,TRUE,None
41,TRUE,None
42,TRUE,None
43,TRUE,None
44,TRUE,None
45,TRUE,None
46,TRUE,None
47,TRUE,None
48,TRUE,None
49,TRUE,None
50,TRUE,None
51,TRUE,None
52,TRUE,None
53,TRUE,None
54,TRUE,None
55,TRUE,None
56,TRUE,None
57,TRUE,None
58,TRUE,None
59,TRUE,None
60,TRUE,None
61,TRUE,None
62,TRUE,None
63,TRUE,None
64,TRUE,None
65,TRUE,None
66,TRUE,None
67,TRUE,None
68,TRUE,None
69,TRUE,None
70,TRUE,None
71,TRUE,None
72,TRUE,None
73,TRUE,None
74,TRUE,None
75,TRUE,None
76,TRUE,None
77,TRUE,None
78,TRUE,None
79,TRUE,None
80,TRUE,None
81,TRUE,None
82,TRUE,None
83,TRUE,None
84,TRUE,None
85,TRUE,None
86,TRUE,None
87,TRUE,None
88,TRUE,None
89,TRUE,None
90,TRUE,None
91,TRUE,None
92,TRUE,None
93,TRUE,None
94,TRUE,None
95,TRUE,None
96,TRUE,None
97,TRUE,None
98,TRUE,None
99,TRUE,None
Total:,100,
